N;Date;Глубина манометра;Dшт;Рзаб;Рзаб;Тзаб;Tлин;Дебит газа;Дебит ст. конд.;Дебит воды;Дебит смеси;Дебит гааз;Дебит кон нестабильный;Дебит воды;Рпл. Тек (послед точка на КВД);Pсб;Удельная плотность газа ;G_total;КГФ
804;05.06.2008;3576,3;7,94;370,1;359,6;103,2;32,5;214,7;83,6;0,4;231,25;1610,37;131,3;0,4;45,25;93,6;0,6694;2,78;311,91
804;06.06.2008;3576,3;9,53;364,6;338,1;103;38,6;290,59;104,7;1,4;309;2310,23;158,5;1,4;45,25;92,9;0,6694;3,7;288,6
804;07.06.2008;3576,3;11,11;357,1;314,8;102,6;43,4;368,04;114,3;1,9;388,11;3039,49;172,3;1,9;45,25;91,4;0,6694;4,52;248,79
804;08.06.2008;3576,3;12,7;347,4;291,5;102;46,1;434,66;121,3;3,3;455,21;3824,08;181,5;3,3;45,25;89,2;0,6694;5,22;223,56
804;09.06.2008;3576,3;14,29;337,7;270,3;104,4;49,9;483,28;129,8;4,6;504,59;4299,1;190,6;4,7;45,25;89,7;0,6694;5,77;215,15
804;17.06.2011;3576,3;9,53;286,4;286,6;102,64;38,98;251,7;76,8;0,6;268,9;1921;119;0,6;41,22;90,7;0,675;3,08;241,13
807;16.09.2004;3590;7,93;391,82;391,82;102,8;-;198,9;70,6;0;206,06;-;-;-;41,88;;;;
807;16.09.2004;3590;11,11;384,22;384,22;102,9;-;341,5;129,3;0,1;354,65;-;-;-;41,88;;;;
807;17.09.2004;3590;14,28;371,91;371,91;103;-;569,7;204,4;0,8;586,17;-;-;-;41,88;;;;
807;17.09.2004;3590;17,46;346,19;346,19;103,3;-;692,6;202,7;1,2;712,62;-;-;-;41,88;;;;
807;09.05.2007;3667;7,94;354,33;354,2;105,3;33;234,86;56,07;0;261,28;1807,4;90,4;0;38,74;100,9;0,66;;188
807;10.05.2007;3667;9,53;350,2;349,1;105,2;39,06;326,22;73,89;0;362,08;2532,4;118;0;38,74;100,1;0,66;;178
807;11.05.2007;3667;11,11;344;344,1;105,2;44,9;429,72;92,13;1,01;476,2;3392,3;146;1;38,74;102;0,66;;169
807;12.05.2007;3667;12,7;336,7;343;105,1;49,84;532,28;109,81;1,38;589,14;4228,8;175,5;1,4;38,74;103,8;0,66;;162
807;18.08.2009;3579;7,94;365,86;365,9;105,9;28,09;243,64;70,73;1,14;257,64;1713,8;117,3;1,2;41,23;93,2;0,66;;230
807;22.08.2009;3579;9,53;342,27;342,3;105,7;35,1;313,85;79,58;1,66;327,84;2353,5;129,7;1,7;41,23;92;0,66;;201
807;26.08.2009;3579;11,11;312,27;312,3;105,2;41,11;395;85,5;2,59;410,02;3085,5;139,7;2,7;41,23;93,7;0,66;;172
807;30.08.2009;3579;12,7;291,74;291,7;104,5;44,14;435,04;86,21;3,16;449,65;3534,4;137,7;3,2;41,23;89,6;0,66;;157
807;03.09.2009;3579;14,29;263,03;263;103,4;49,75;494,59;88,07;3,51;509,05;4071,6;142,2;3,6;41,23;90,3;0,66;;141
807;09.09.2011;3582,5;9,53;292;292;104,6;37,79;273,4;59,9;0,8;285,54;2085;94;0,7;;92,1;0,67;;172
20503;03.10.2007;3653;7,94;440,5;442,7;105,42;16,2;310,78;150,07;1,2;337,72;1784;492,8;2,5;53,27;99,4;0,654;4,23;385,42
20503;04.10.2007;3653;9,53;388,7;388,6;105,32;22,03;375,37;138,98;0,86;398,4;3127;238,3;1;53,27;99,7;0,654;4,71;295,5
20503;05.10.2007;3653;12,7;308,8;308,7;105,22;35,41;473,78;151,79;0,7;496,81;3895,7;245;0,8;53,27;99,2;0,654;5,73;255,68
20503;06.10.2007;3653;14,29;270,5;270,4;105,12;33,83;488,09;143,15;0,43;509,73;5129;221,2;0,4;53,27;98,9;0,654;5,78;233,96
20503;07.10.2007;3653;15,88;239,3;239,3;105,02;37,26;492,51;137,68;0,41;513,33;5235,6;209,7;0,4;53,27;100,8;0,654;5,76;223,11
20503;08.10.2007;3653;14,29;251,3;285,3;100,21;31,99;459,31;114,88;0,34;476,68;5209,5;172,5;0,3;53,27;97;0,654;5,25;199,63
20503;09.10.2007;3653;11,11;296,8;296,8;102,38;24,8;355,02;109,27;0,33;371,54;3705,5;164;0,3;53,27;98;0,654;4,25;245,68
20503;15.06.2008;3650;7,94;458,6;458,5;105,6;31,18;287,95;106,66;0,49;306,24;2519,8;163;0,5;47,33;89,6;0,6822;3,72;294,59
20503;25.06.2008;3650;9,53;452,8;452,7;105,49;40,51;402,79;143,01;2,18;429,88;3517,8;218,9;2,2;47,33;85,5;0,6822;5,17;282,24
20503;27.06.2008;3650;12,7;437,3;437,2;105,47;51,38;654,56;230,98;4,56;692,79;5599,8;354,6;4,7;47,33;93,8;0,6822;8,4;280,56
20503;29.06.2008;3650;14,29;426,2;426,1;105,42;52,76;742,11;272,77;6,25;787,26;6020,6;421,6;6,4;47,33;92,3;0,6822;9,64;292,24
20503;01.07.2008;3650;15,87;414;413,9;105,36;55,51;846,82;302,62;8,34;896,91;6943,1;469,6;8,1;47,33;87,7;0,6822;10,93;284,08
20503;03.07.2008;3650;14,29;414,8;414,7;105,35;53,13;720,27;262,01;6,01;763,64;5914,3;401,1;6,1;47,33;96,3;0,6822;9,33;289,18
20503;05.07.2008;3650;11,11;424,5;424,5;105,37;44,88;497,16;179,76;3,29;526,91;4204,5;274;3,3;47,33;88,2;0,6822;6,42;287,52
20503;05.10.2010;3653;9,53;403,4;402,9;104,42;42,44;366,22;118,28;1,47;388,18;2724,6;184,3;1,5;43,4;88,8;0,684;4,59;254,84
20503;08.10.2010;3653;11,11;399,2;396,6;104,42;49,18;470,29;145,03;2,27;495,85;3324,9;229,5;2,3;43,4;87,4;0,684;5,83;243,23
20503;12.07.2011;-;14,29;-;-;-;52,22;601,5;167,1;1;629,44;5020;254;1;-;90,8;0,6847;7,28;219,04
21002;18.05.2007;3572;6,35;341,5;345;104,9;26,5;148,2;40;0;-;1768,6;98,2;0;38,59;94,8;0,662;;270
21002;18.05.2007;3572;9,53;330;328,7;104,7;38,5;304,63;76,6;0;-;2315,9;122,1;0;38,59;94,8;0,662;;251
21002;19.05.2007;3572;11,11;316;316,1;104,6;45;389,86;91,8;1,1;-;2998,1;143,5;1,2;38,59;103,6;0,662;;236
21002;20.05.2007;3572;12,7;301,6;329,7;104,5;48,2;472,62;102,3;2,4;-;4013,4;158,9;2,4;38,59;98;0,662;;217
21002;11.07.2008;3588,5;7,94;359,9;359,9;105,1;33,2;235,78;59,6;1,3;247,23;1839,2;94,7;1,2;40,39;97,6;0,68;;200
21002;12.07.2008;3588,5;9,53;346,9;346,9;104,88;39;326,31;74;2,6;340,13;2690,92;119,1;2,7;40,39;95,5;0,68;;180
21002;13.07.2008;3588,5;11,11;330,5;330,5;104,5;43,3;415,32;88,7;3,8;429,84;3706,49;138,7;3,9;40,39;90,3;0,68;;169
21002;14.07.2008;3588,5;12,7;314,2;314,2;104;47,8;489,67;98,6;4,7;506,46;4437,44;159,2;4,9;40,39;92;0,68;;160
21002;15.07.2008;3588,5;14,29;297,5;297,5;103,4;51,2;554,81;109,1;5,7;571,84;5035,74;170,4;5,8;40,39;93,2;0,68;;156
21002;16.07.2008;3588,5;12,7;306,9;306,8;103,76;48,2;490,36;94,7;4,5;505,13;4386,75;149,6;4,6;40,39;92,5;0,68;;153
21002;16.09.2011;-;9,53;-;-;-;37,54;285;55,4;0,5;296,33;2291;91;0,5;;92,9;0,67;;152
21202;21.07.2007;3559,5;6,35;399,42;396,7;107,62;26,27;167,32;68,61;1,38;183,85;1146;100;1,3;42,98;96,5;;;
21202;22.07.2007;3559,5;9,53;390,81;386,8;107,5;38,19;357,35;151,63;2,89;393,86;2671;222;3;42,98;97,6;;;
21202;23.07.2007;3559,5;12,7;376,42;373,9;107,4;48,91;554,17;248,06;4,71;613,9;4437;364;5;42,98;97,8;;;
21202;24.07.2007;3559,5;14,29;366,7;372,8;107,2;52,26;630,62;284,28;5,21;699,08;5207;416;5;42,98;96,8;;;
21202;27.11.2008;3570;7,94;381,26;379,2;106,32;25,94;219,55;102,51;1,93;238,35;1942;146;2;40,06;85,6;;;
21202;29.11.2008;3570;9,53;378,82;373;106,35;33,67;312,68;143,4;4,42;338,98;2873;205;4,3;40,06;87,6;;;
21202;30.11.2008;3570;11,11;372,62;365,1;106,34;40,78;393,57;187,11;6,64;427,89;3692;269;7;40,06;89,6;;;
21202;02.12.2008;3570;12,7;364,64;356,7;106,3;44,93;464,36;219,67;9,16;504,66;4383;318;9,3;40,06;90,6;;;
21202;03.12.2008;3570;14,29;356,05;345,5;106,25;50,91;557,38;264,39;11,22;605,88;5030;390;11,2;40,06;93,2;;;
21203;22.09.2007;3480;6,35;432,05;432,05;106,3;21,71;184,86;65,01;0,73;193,77;1324;91,1;0,7;45,17;96,3;;;
21203;23.09.2007;3480;9,53;421,71;421,71;106,41;35,6;392,03;137,23;0,38;410,84;3049;192,2;0,4;45,17;96,7;;;
21203;24.09.2007;3480;11,11;413,41;413,41;106,37;41,56;499,1;172,15;0,71;522,7;4138;238,9;0,7;45,17;95,3;;;
21203;25.09.2007;3480;12,7;400,94;400,94;106,3;46,83;614,52;212,28;1,16;645,27;5300;293,4;1,2;45,17;95,2;;;
21203;27.09.2007;3480;14,29;385,85;385,85;106,2;49,95;688,72;264;4;726,96;5609;366,4;4,1;45,17;92,7;;;
21203;19.04.2009;3480,6;7,94;376,65;376,6;105,97;29,41;246,49;75,32;1,48;258,69;2012;117;1,5;39,7;93,4;;;
21203;21.04.2009;3480,6;9,53;373,78;366,8;106,01;35,89;347,96;97,66;3,71;363,85;3035;150;3,5;39,7;95,4;;;
21203;26.04.2009;3480,6;11,11;363,64;354;105,95;40,9;444,39;119,47;3,52;463,56;4049,1;182,7;3,5;39,7;90,9;;;
21203;01.05.2009;3480,6;12,7;351,18;341,2;105,85;45,14;515,36;134,34;4,42;536,96;4662,42;207,1;4,4;39,7;90,3;;;
21203;25.04.2010;3478,5;9,53;347;345,7;106,51;35,29;347,86;67,79;5,49;360,53;3019,1;104;5,6;39,49;87,9;0,67;;152
21203;29.04.2010;3478,5;11,11;342;335,4;106,48;40,52;448,2;79,32;5,45;462,62;4002,5;122,7;5,6;39,49;87,9;0,67;;138
21203;28.07.2011;-;12,7;-;-;-;48,37;479,1;80,9;0,7;492,6;4109;416;0,7;-;93;0,67;;131
21204;14.09.2007;3564,3;6,35;457;457,5;106,94;21,68;198,98;67,39;0,22;212,01;1438,8;106,8;0,2;47,93;95,1;;;
21204;15.09.2007;3564,3;7,94;453;453,3;107,05;30,1;305,84;94,69;0,6;324,15;2291,4;155;0,6;47,93;95,2;;;
21204;16.09.2007;3564,3;11,11;438,5;438,9;107,06;44,04;543,82;160,48;1,76;574,86;4419;258,9;1,8;47,93;97,3;;;
21204;17.09.2007;3564,3;12,7;427,9;428,3;107,03;48,58;678,31;196,31;2,44;716,28;5688,2;319,5;2,6;47,93;96,2;;;
21204;19.09.2007;3564,3;14,29;414,8;415;106,9;51,97;732,84;209,89;3,23;773,44;6345,3;331,6;3,3;47,93;97;;;
21204;19.11.2008;3560;7,94;415,69;415;106,8;28,25;243,29;114,6;1,18;262,64;2209,7;166,2;1,1;43,04;86,5;;;
21204;20.11.2008;3560;9,53;410,66;408,8;106,87;36,23;338,21;159,01;5;360,4;3186;232;4,8;43,04;87,6;;;
21204;21.11.2008;3560;11,11;403,42;400,8;106,84;42,19;426,44;209,71;6,88;455,71;4245;305;6,8;43,04;87,9;;;
21204;22.11.2008;3560;12,7;395,33;392,4;106,8;46,53;504,64;245,06;8,1;538,83;4973;359,8;8,1;43,04;89,7;;;
21204;23.11.2008;3560;14,29;384,93;381,2;106,74;50,65;614,46;293,86;10,29;655,46;5889,07;437,2;10,3;43,04;91,9;;;
21204;23.09.2011;3558;12,7;309,4;311,8;103;47,89;483,7;88,5;1,7;499,62;4105;132,6;1,6;-;93,5;;;
21303;26.05.2007;3640,5;6,35;403;404,8;104;22,45;182,45;49,43;0,32;191,76;1239,4;80;0,3;42,86;102,4;0,68;;212
21303;27.05.2007;3640,5;9,53;396,6;397,3;107,07;36,27;383,72;93,85;0,45;401,39;2827,3;151,9;0,4;42,86;97;0,68;;194
21303;28.05.2007;3640,5;11,11;390;390,1;105;42,72;498,6;117,47;1,11;520,72;3817,5;185,2;1,1;42,86;103,7;0,68;;187
21303;29.05.2007;3640,5;12,7;384,4;381,3;104,9;47,99;612,21;139,53;0,65;638,48;4835;222,6;0,7;42,86;103,8;0,68;;180
