Glubina manometra;Dsht;Rzab;Rzab.1;Tzab;Tlin;Debit gaza;Debit st. kond.;Debit vody;Debit smesi;Debit gaaz;Debit kon nestabil'nyj;Debit vody.1;Rpl. Tek (posled tochka na KVD);Psb;Udel'naya plotnost' gaza ;G_total;KGF
3277.8;6.35;382.5;378.6;106.2;25.9;168.59;48.3;0.8;178.86;1891;116.8;0.8;40.35;101.5;0.67;;224
3277.8;9.53;373.7;379.6;106.4;40.1;354.22;89.8;3.2;373.32;1192;82.6;0.8;40.35;101.5;0.67;;199
3277.8;11.11;365.7;372.7;106.47;46.1;460.41;117.3;0.6;485.34;2740;152.8;3.3;40.35;103.2;0.67;;201
3277.8;12.7;354.5;364.1;106.4;50.5;569.07;138.4;1.6;598.49;3730;196.5;0.6;40.35;102.7;0.67;;191
3277.8;14.3;345.9;354.6;106.7;54;648.1;158;1.8;681.69;4726;232.4;1.7;40.35;103.1;0.67;;192
3276;7.5;370.04;370.1;104.98;30.4;246.61;69.9;1.2;261.47;1967;114.7;1.1;39.44;94.3;0.67;;222
3276;9.53;364.68;364.6;105.18;37.5;350.09;94.4;1.4;370.16;2970;154.5;1.4;39.44;93.5;0.67;;212
3276;11.11;357.12;357;105.24;43.7;452.11;117.6;1.4;477.12;3869;196.7;1.4;39.44;95.3;0.67;;204
3276;12.7;347.44;347.5;105.23;47.9;562.2;142;2.1;592.39;5012;235.7;2;39.44;94.2;0.67;;198
3276;14.3;337.88;337.7;105.16;52.1;653.25;154.7;2.3;686.15;5733;264.3;2.4;39.44;98.5;0.67;;186
3284;7.94;335.2;335.5;104.68;27.2;215.34;55.4;1.1;226.54;1773;93.1;1.1;35.28;89.7;0.66;;201
3284;9.53;328.1;328.4;104.84;35.7;312.61;72.7;1.9;325.43;2750;119.2;2;35.28;88.9;0.66;;182
3284;11.11;318;318.3;104.85;42.5;409.23;86.3;3.5;424.74;3583;143.9;3.5;35.28;91;0.66;;165
3284;12.7;307.8;308.1;104.78;46.3;479.09;93.5;4.7;495.63;4165;156.8;4.8;35.28;94.4;0.66;;153
3284;14.29;293.6;293.9;104.63;50.5;568.5;106.6;6.4;587.36;5113;174.3;6.5;35.28;94;0.66;;147
3288.6;7.94;309.1;307.1;104.4;28.1;215.8;50.5;0.45;224.86;1759;84.7;0.4;33.21;89.9;0.67;;182
3288.6;11.11;293.9;293.9;104.6;41.3;387.68;72;1.5;403.75;3454;123;1.6;33.21;90.8;0.67;;145
3289.8;9.53;271;272.3;103.9;36.16;264.3;47.6;1;274.94;2223;80;1.1;-;94;0.67;;139
